Drug_A,Drug_B,Side_Effect,Severity_Score,Severity
Aspirin,Psyllium,Anaemia,3.42105,Moderate
pantoprazole,balsalazide,Haemorrhagic anaemia,10.0,Major
Simvastatin,hyaluronate,Dizziness,4.28571,Moderate
pomalidomide,Filgrastim,Anaemia,2.85714,Moderate
dihydrocodeine,Methotrexate,Anaemia,1.57895,Minor
Tretinoin,tiotropium,Diarrhoea,3.33333,Moderate
"Insulin, Zinc, Human",clopidogrel,Syncope,2.5,Moderate
desloratadine,Verapamil,Anaemia,1.42857,Minor
alogliptin,sitagliptin,Anaemia,6.66667,Major
Buprenorphine,Bumetanide,Anaemia,7.77778,Major
Risperidone,Interferon beta-1a,Anaemia,1.25,Minor
Gentamicin,Sodium Oxybate,Anaemia,3.33333,Moderate
Cefotaxime,Trimethoprim,Anaemia,7.5,Major
Methylprednisolone,dalfampridine,Anaemia,0.555556,Minor
Albuterol,meloxicam,Iron deficiency anaemia,1.42857,Minor
peginterferon alfa-2b,Ticlopidine,Anaemia,10.0,Major
Aspirin,Somatropin,Anaemia,1.73913,Minor
Clavulanate,Benzydamine,Thrombocytopenia,10.0,Major
ropivacaine,Dexamethasone,Anaemia,4.0,Moderate
Epinephrine,duloxetine,Anaemia,2.22222,Moderate
quinapril,oxaliplatin,Dizziness,3.33333,Moderate
Codeine,standardized senna concentrate,Anaemia,4.0,Moderate
Calcium Carbonate,nilotinib,Anaemia,15.0,Major
Ondansetron,Dolasetron,Anaemia,12.8571,Major
Glucosamine,bortezomib,Anaemia,15.0,Major
Bendroflumethiazide,rosuvastatin,Anaemia,0.833333,Minor
Calcium,leflunomide,Iron deficiency anaemia,2.0,Moderate
Hydrocodone,Medroxyprogesterone,Anaemia,1.72414,Minor
Dextromethorphan,pregabalin,Anaemia,5.0,Major
quetiapine,Albuterol,Iron deficiency anaemia,0.909091,Minor
Oxycodone,Estriol,Lymphadenopathy,10.0,Major
thyroid (USP),Hydroxyzine,Anaemia,5.0,Major
ramelteon,gabapentin,Anaemia,1.66667,Minor
Ipratropium,Atenolol,Iron deficiency anaemia,15.0,Major
olmesartan,everolimus,Anaemia,20.0,Major
abatacept,Allopurinol,Anaemia,5.0,Major
Lovastatin,fesoterodine,Dizziness,4.28571,Moderate
Nitroglycerin,gadoteridol,Dizziness,2.5,Moderate
Ethinyl Estradiol,Fluocinonide,Anaemia,5.0,Major
Caffeine,sevelamer,Anaemia,10.0,Major
topiramate,clorazepate,Anaemia,1.11111,Minor
Simvastatin,dronedarone,Anaemia,1.76471,Minor
Cladribine,Methotrexate,Anaemia,3.33333,Moderate
Oxygen,Propranolol,Anaemia,7.5,Major
Atracurium,Propofol,Anaemia,1.30435,Minor
Omeprazole,naratriptan,Dizziness,2.22222,Moderate
Buprenorphine,Acetylcysteine,Anaemia,4.0,Moderate
"sennosides, USP",Betamethasone,Anaemia,6.66667,Major
Spironolactone,adalimumab,Anaemia,1.97674,Minor
formoterol,Citalopram,Anaemia,1.80328,Minor
Fluoxetine,Vincristine,Anaemia,5.0,Major
fexofenadine,Triamcinolone,Iron deficiency anaemia,20.0,Major
Dimenhydrinate,mesalamine,Anaemia,3.33333,Moderate
tazobactam,Oxacillin,Pancytopenia,30.0,Major
Prazosin,Sodium Oxybate,Non-Hodgkin's lymphoma,10.0,Major
Mometasone,Clonidine,Anaemia,1.875,Minor
Mepivacaine,Fentanyl,Anaemia,1.66667,Minor
romiplostim,Valproate,Death,1.66667,Minor
Warfarin,cefditoren,Anaemia,3.33333,Moderate
Bupropion,Zinc,Dizziness,1.0,Minor
Ribavirin,Cefazolin,Anaemia,13.3333,Major
Amlodipine,Clonazepam,Iron deficiency anaemia,7.0,Major
Amlodipine,Gliclazide,Iron deficiency anaemia,1.11111,Minor
norgestimate,atorvastatin,Dyspnoea,2.5,Moderate
Bendroflumethiazide,Benzydamine,Dyspnoea,1.11111,Minor
Sodium Bicarbonate,Dutasteride,Anaemia,3.33333,Moderate
Selegiline,Alprazolam,Tachycardia,1.0,Minor
topiramate,Lithium,Anaemia,1.42857,Minor
ingenol mebutate,Bupropion,Application site erythema,100.0,Major
Diclofenac,Albuterol,Iron deficiency anaemia,1.66667,Minor
Fentanyl,Water,Bradycardia,5.0,Major
Miconazole,glimepiride,Jaundice,10.0,Major
Chlorpromazine,Bupropion,Anaemia,2.17391,Moderate
Immunoglobulin A,Trimethoprim,Anaemia,1.25,Minor
Neostigmine,Thiopental,Anaemia,2.5,Moderate
Valproate,atomoxetine,Anaemia,0.333333,Minor
Trimetazidine,sitagliptin,Anaemia,5.0,Major
Loratadine,Tranexamic Acid,Dyspnoea,1.25,Minor
Calcium Carbonate,Chondroitin Sulfates,Anaemia,4.0,Moderate
Ribavirin,Psyllium,Anaemia,10.0,Major
Levodopa,zopiclone,Anaemia,3.33333,Moderate
Clonazepam,Methylphenidate,Anaemia,1.35802,Minor
Metoclopramide,brinzolamide,Anaemia,3.33333,Moderate
carvedilol,axitinib,Anaemia,3.33333,Moderate
Ascorbic Acid,Selenium,Anaemia,2.5,Moderate
POLYETHYLENE GLYCOL 3350,Perindopril,Anaemia,1.66667,Minor
hypromellose,Gliclazide,Syncope,4.0,Moderate
Warfarin,Glucosamine,Iron deficiency anaemia,3.33333,Moderate
Lorazepam,exenatide,Anaemia,1.0,Minor
Urea,Sodium Bicarbonate,Anaemia,10.0,Major
Fosinopril,rosuvastatin,Anaemia,1.17647,Minor
Lysine,Chondroitin Sulfates,Anaemia,5.0,Major
