drug_1_rxnorn_id,drug_1_concept_name,drug_2_rxnorm_id,drug_2_concept_name,condition_meddra_id,condition_concept_name,A,B,C,D,PRR,PRR_error,mean_reporting_frequency
10355,Temazepam,136411,sildenafil,10003239,Arthralgia,7,149,24,1536,2.91667,0.421275,0.0448718
1808,Bumetanide,7824,Oxytocin,10003239,Arthralgia,1,13,2,138,5.0,1.19224,0.0714286
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10003239,Arthralgia,6,103,20,1070,3.0,0.454505,0.0550459
10324,Tamoxifen,8640,Prednisone,10012735,Diarrhoea,18,123,35,1375,5.14286,0.276271,0.12766
10355,Temazepam,136411,sildenafil,10012735,Diarrhoea,2,154,37,1523,0.540541,0.721093,0.0128205
1808,Bumetanide,7824,Oxytocin,10012735,Diarrhoea,3,11,5,135,6.0,0.67436,0.214286
161,Acetaminophen,1546438,glycopyrronium,10012735,Diarrhoea,3,20,5,225,6.0,0.696783,0.130435
7781,Oxazepam,9863,Sodium Chloride,10012735,Diarrhoea,4,31,6,344,6.66667,0.620676,0.114286
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10012735,Diarrhoea,7,102,24,1066,2.91667,0.417651,0.0642202
10355,Temazepam,136411,sildenafil,10019211,Headache,16,140,41,1519,3.90244,0.282558,0.102564
161,Acetaminophen,1546438,glycopyrronium,10019211,Headache,1,22,6,224,1.66667,1.05775,0.0434783
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10019211,Headache,9,100,19,1071,4.73684,0.391983,0.0825688
10324,Tamoxifen,8640,Prednisone,10047700,Vomiting,17,124,40,1370,4.25,0.275721,0.120567
10355,Temazepam,136411,sildenafil,10047700,Vomiting,4,152,37,1523,1.08108,0.519592,0.025641
1808,Bumetanide,7824,Oxytocin,10047700,Vomiting,3,11,4,136,7.5,0.710466,0.214286
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10047700,Vomiting,8,101,35,1055,2.28571,0.378787,0.0733945
10324,Tamoxifen,8640,Prednisone,10013946,Dyspepsia,4,137,6,1404,6.66667,0.639426,0.0283688
10355,Temazepam,136411,sildenafil,10013946,Dyspepsia,2,154,5,1555,4.0,0.832435,0.0128205
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10013946,Dyspepsia,1,108,2,1088,5.0,1.22062,0.00917431
10355,Temazepam,136411,sildenafil,10062237,Renal impairment,1,155,5,1555,2.0,1.09222,0.00641026
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10013700,Drug hypersensitivity,1,108,4,1086,2.5,1.11351,0.00917431
10355,Temazepam,136411,sildenafil,10011224,Cough,5,151,27,1533,1.85185,0.479568,0.0320513
1808,Bumetanide,7824,Oxytocin,10011224,Cough,1,13,4,136,2.5,1.08233,0.0714286
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10011224,Cough,3,106,15,1075,2.0,0.624426,0.0275229
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10043521,Throat irritation,1,108,4,1086,2.5,1.11351,0.00917431
10355,Temazepam,136411,sildenafil,10039101,Rhinorrhoea,1,155,2,1558,5.0,1.22186,0.00641026
10355,Temazepam,136411,sildenafil,10062355,Unevaluable event,2,154,6,1554,3.33333,0.812167,0.0128205
10324,Tamoxifen,8640,Prednisone,10025482,Malaise,5,136,33,1377,1.51515,0.471701,0.035461
10355,Temazepam,136411,sildenafil,10025482,Malaise,12,144,41,1519,2.92683,0.317289,0.0769231
1808,Bumetanide,7824,Oxytocin,10025482,Malaise,1,13,2,138,5.0,1.19224,0.0714286
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10025482,Malaise,2,107,26,1064,0.769231,0.726891,0.0183486
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10060795,Hepatic enzyme increased,1,108,3,1087,3.33333,1.15032,0.00917431
10355,Temazepam,136411,sildenafil,10003988,Back pain,11,145,16,1544,6.875,0.382567,0.0705128
161,Acetaminophen,1546438,glycopyrronium,10003988,Back pain,1,22,2,228,5.0,1.20506,0.0434783
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10003988,Back pain,5,104,16,1074,3.125,0.502402,0.0458716
10355,Temazepam,136411,sildenafil,10016807,Fluid retention,2,154,6,1554,3.33333,0.812167,0.0128205
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10016807,Fluid retention,1,108,3,1087,3.33333,1.15032,0.00917431
10324,Tamoxifen,8640,Prednisone,10030124,Oedema peripheral,14,127,17,1393,8.23529,0.34993,0.0992908
10355,Temazepam,136411,sildenafil,10030124,Oedema peripheral,8,148,21,1539,3.80952,0.4069,0.0512821
1808,Bumetanide,7824,Oxytocin,10030124,Oedema peripheral,3,11,1,139,30.0,1.12016,0.214286
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10030124,Oedema peripheral,3,106,16,1074,1.875,0.621081,0.0275229
10355,Temazepam,136411,sildenafil,10030095,Oedema,6,150,5,1555,12.0,0.599679,0.0384615
10355,Temazepam,136411,sildenafil,10033295,Overdose,1,155,8,1552,1.25,1.05733,0.00641026
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10033295,Overdose,3,106,4,1086,7.5,0.757127,0.0275229
10324,Tamoxifen,8640,Prednisone,10011906,Death,8,133,61,1349,1.31148,0.365502,0.0567376
10355,Temazepam,136411,sildenafil,10011906,Death,3,153,64,1496,0.46875,0.584728,0.0192308
1808,Bumetanide,7824,Oxytocin,10011906,Death,1,13,7,133,1.42857,1.03164,0.0714286
7781,Oxazepam,9863,Sodium Chloride,10011906,Death,1,34,12,338,0.833333,1.02562,0.0285714
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10011906,Death,5,104,44,1046,1.13636,0.461124,0.0458716
10355,Temazepam,136411,sildenafil,10008190,Cerebrovascular accident,1,155,20,1540,0.5,1.02125,0.00641026
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10008190,Cerebrovascular accident,2,107,21,1069,0.952381,0.733163,0.0183486
10355,Temazepam,136411,sildenafil,10033371,Pain,9,147,50,1510,1.8,0.352221,0.0576923
1808,Bumetanide,7824,Oxytocin,10033371,Pain,1,13,4,136,2.5,1.08233,0.0714286
7781,Oxazepam,9863,Sodium Chloride,10033371,Pain,1,34,7,343,1.42857,1.05424,0.0285714
221147,POLYETHYLENE GLYCOL 3350,5521,Hydroxychloroquine,10033371,Pain,7,102,31,1059,2.25806,0.406231,0.0642202
7781,Oxazepam,9863,Sodium Chloride,10064355,Incorrect dose administered,1,34,1,349,10.0,1.40306,0.0285714
10355,Temazepam,136411,sildenafil,10052428,Wound,1,155,1,1559,10.0,1.41172,0.00641026
